open,high,low,close,tick_volume,date,time_only,noisy_day
3324.71,3329.98,3320.95,3326.94,5731,2025-06-25,00:00:00,False
3327.05,3335.18,3325.81,3327.5,10938,2025-06-25,04:00:00,False
3327.44,3337.07,3326.48,3327.16,12135,2025-06-25,08:00:00,False
3327.17,3329.5,3318.2,3320.63,12872,2025-06-25,12:00:00,False
3320.67,3335.1,3311.98,3334.8,15738,2025-06-25,16:00:00,False
3334.79,3336.01,3325.03,3332.15,11627,2025-06-25,20:00:00,False
3333.62,3340.09,3331.31,3333.98,7168,2025-06-26,00:00:00,False
3334.03,3343.14,3329.28,3333.97,11986,2025-06-26,04:00:00,False
3333.91,3350.28,3331.08,3348.22,13267,2025-06-26,08:00:00,False
3348.18,3348.75,3321.73,3322.03,14071,2025-06-26,12:00:00,False
3322.19,3333.27,3309.99,3331.33,17255,2025-06-26,16:00:00,False
3331.34,3336.39,3327.67,3327.76,10738,2025-06-26,20:00:00,False
3327.61,3327.96,3313.25,3318.61,7435,2025-06-27,00:00:00,False
3318.82,3321.96,3291.16,3293.97,14853,2025-06-27,04:00:00,False
3293.95,3300.92,3281.92,3289.51,15852,2025-06-27,08:00:00,False
3289.34,3290.91,3269.58,3270.02,16077,2025-06-27,12:00:00,False
3269.98,3278.51,3255.89,3277.67,17559,2025-06-27,16:00:00,False
3277.69,3282.76,3268.4,3274.96,12495,2025-06-27,20:00:00,False
3275.5,3281.68,3248.48,3264.59,10247,2025-06-30,00:00:00,False
3264.73,3286.29,3259.54,3285.82,12883,2025-06-30,04:00:00,False
3285.59,3296.79,3284.72,3289.14,13349,2025-06-30,08:00:00,False
3289.03,3289.03,3274.64,3281.95,13350,2025-06-30,12:00:00,False
3281.95,3297.45,3278.01,3297.31,15431,2025-06-30,16:00:00,False
3298.14,3309.41,3292.02,3302.92,11207,2025-06-30,20:00:00,False
3303.4,3314.78,3302.38,3314.72,7831,2025-07-01,00:00:00,False
3314.78,3323.05,3314.13,3322.93,12660,2025-07-01,04:00:00,False
3322.95,3342.28,3322.91,3339.49,14427,2025-07-01,08:00:00,False
3339.53,3357.92,3338.2,3354.51,14722,2025-07-01,12:00:00,False
3354.6,3355.55,3337.07,3341.75,17306,2025-07-01,16:00:00,False
3341.75,3342.18,3336.86,3338.78,10982,2025-07-01,20:00:00,False
