candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
1.96,False,0.0011692208574683983,1,Sydney,False,False,1167,False
3.6,False,0.0021509873629492427,3,New York,False,False,2509,False
12.01,False,0.007283422784196004,0,Tokyo,True,False,7240,False
3.03,False,0.001861854111748115,1,New York,True,False,559,True
5.0,False,0.003047758373716132,1,Tokyo,True,False,4955,False
3.47,False,0.002120521391599802,1,Tokyo,False,False,3302,False
2.02,False,0.0012397657947389742,1,New York,False,False,1245,False
4.21,False,0.002536664136027861,2,London,False,False,4066,False
4.59,False,0.0027675109886465725,3,Sydney,False,False,3159,False
3.57,False,0.0021669327279679996,3,Tokyo,False,False,3322,False
17.77,False,0.010535052615977472,0,London,True,False,8700,False
4.86,False,0.0028488525455025063,1,London,False,False,3571,True
2.34,False,0.0013555944339524266,1,New York,False,False,2648,False
5.01,False,0.002925035030359645,2,Tokyo,False,False,3315,False
9.77,False,0.005809182908991449,1,London,True,False,5526,False
9.27,False,0.005555921821527249,4,Sydney,True,False,3611,False
10.15,False,0.006178626214419635,3,London,True,False,6983,False
4.26,False,0.002621828879506653,4,Tokyo,False,False,3664,False
1.76,False,0.0010657236626984608,1,New York,True,False,717,False
3.55,False,0.002149665136670259,1,Tokyo,False,False,2699,False
11.89,False,0.007188329393556501,1,London,False,False,6475,False
1.68,False,0.0010163954262205818,2,Sydney,False,False,429,False
2.71,False,0.0016251094400268652,3,Sydney,True,False,1412,False
2.68,False,0.0016119525075485091,3,New York,False,False,2062,False
1.39,False,0.0008349200819302872,4,Sydney,False,False,1566,False
3.71,False,0.002260954354317752,0,London,False,False,5393,False
4.64,False,0.0028166278166278165,1,Tokyo,True,False,3134,False
3.96,False,0.002398953184065135,1,Tokyo,True,False,3245,False
2.84,False,0.0017219739642387237,1,London,False,False,2754,False
4.36,False,0.002661896418039843,3,Sydney,True,False,1700,False
4.58,False,0.002802937576499388,4,Sydney,True,False,2093,True
6.9,False,0.0041893844640623675,4,Sydney,True,False,2337,False
5.48,False,0.003261361201704478,0,Tokyo,True,False,5174,False
29.77,False,0.017424029592171184,1,London,True,False,10213,False
1.84,False,0.0010766782136504072,2,Sydney,False,False,1534,True
3.16,False,0.001847920796711169,2,London,False,False,5252,True
2.41,False,0.0014102474077194954,3,Sydney,True,False,2037,False
3.6,False,0.002107197836610221,3,Tokyo,False,False,2616,True
4.01,False,0.002287311410888971,4,Sydney,False,False,1943,True
6.14,False,0.00347652777541857,4,London,False,False,4944,False
7.46,False,0.004197023826267968,1,Tokyo,True,False,3409,True
5.19,False,0.0029159924487594394,2,London,False,False,6158,False
2.33,False,0.0013340203824573457,0,Sydney,False,False,1937,False
2.15,False,0.001236136584468375,0,New York,False,False,2925,True
1.54,False,0.0008772329566168428,3,New York,False,False,298,False
2.13,False,0.0012104335966357902,4,Sydney,True,False,1103,False
2.46,False,0.001400018211619013,4,Tokyo,False,False,1693,False
3.03,False,0.0017277065977864827,0,Sydney,False,False,1156,False
1.89,False,0.0010849909584086798,1,New York,True,False,714,True
3.77,False,0.0021586152797897495,1,Sydney,True,False,3496,True
5.31,False,0.0030341816851993646,1,Sydney,True,False,2935,True
1.68,False,0.0009573740597219056,2,Sydney,True,False,1054,False
3.38,False,0.00190583591767691,3,New York,True,False,1871,True
3.73,False,0.0020952466549078205,3,Tokyo,False,False,2993,True
4.33,False,0.002420508921783462,3,London,True,False,5543,True
10.46,False,0.005812112085970362,3,London,True,False,7452,False
1.92,False,0.0010645671037675696,3,New York,False,False,3324,False
3.72,False,0.0020681603380219046,4,New York,False,False,2864,False
5.11,False,0.0028311347254464164,0,Sydney,True,True,3838,True
1.55,False,0.0008765679255313133,0,New York,False,False,1013,True
3.13,False,0.0017635392486083253,1,Sydney,False,False,2387,False
4.4,False,0.0024805921850070754,2,Sydney,True,False,3086,False
1.84,False,0.0010375900842478037,2,Sydney,False,False,1164,False
4.98,False,0.0027934841141626283,2,London,False,False,4806,True
2.25,False,0.0012607302149404934,3,Sydney,False,False,1477,False
2.16,False,0.00120176258512485,4,Sydney,True,False,1404,False
1.4,False,0.0007793928529675382,4,New York,False,False,767,False
22.14,False,0.012214902843523454,1,London,True,False,13362,False
4.3,False,0.0024138589183666593,4,Sydney,True,False,2025,False
3.16,False,0.0017647912966748207,4,New York,False,False,2945,True
1.42,False,0.0007917612226577528,4,New York,False,False,1110,False
2.16,False,0.001208344288615271,1,Sydney,False,False,2112,True
1.46,False,0.0008027005926789308,1,New York,False,False,954,False
2.8,False,0.0015395950864922523,3,Sydney,True,False,1617,False
5.89,False,0.003282415947303013,3,New York,False,False,3295,False
2.35,False,0.0012997859501435295,1,Tokyo,False,False,1991,True
13.91,False,0.007634970470063889,1,London,True,False,5847,False
4.69,False,0.002574136786006356,4,London,False,False,3953,False
4.1,False,0.0022523264884582,4,London,False,False,3616,True
5.89,False,0.003177960386103302,2,Tokyo,True,True,2760,True
5.69,False,0.0030614276260215972,2,Tokyo,True,True,4760,True
3.13,False,0.0016855687313537325,3,Sydney,False,False,2124,False
3.96,False,0.0021353809983445404,3,Tokyo,False,False,2634,False
3.27,False,0.001777299483115655,4,Tokyo,False,False,2261,False
17.5,False,0.009446591669725564,4,London,True,False,11742,False
2.68,False,0.0014324733148394614,1,Sydney,False,False,1701,True
3.59,False,0.0019139215132241846,1,New York,False,False,2002,False
1.89,False,0.0010063415491270386,2,Sydney,True,False,1457,False
2.98,False,0.0015868705103013457,2,New York,False,False,2489,False
4.98,False,0.002621121608463381,4,Tokyo,False,False,5029,True
10.95,False,0.005725969231412824,4,London,True,True,8581,False
1.89,False,0.000985956638774701,1,New York,True,False,628,False
6.51,False,0.0034034410828275223,1,Tokyo,False,False,2843,False
4.73,False,0.002453306777454474,4,Sydney,False,False,2364,True
3.82,False,0.001979038767400776,4,Tokyo,False,False,3370,True
3.16,False,0.0016376111606309985,4,New York,False,False,2648,False
3.83,False,0.001981888745148771,0,Sydney,True,True,2584,False
3.58,False,0.0018493550503406843,1,Sydney,True,True,1634,False
3.57,False,0.001840177729210373,1,Tokyo,True,True,1976,False
2.28,False,0.0011763127753758524,1,New York,False,False,2322,False
4.23,False,0.0021875727251570863,2,Tokyo,False,False,2264,False
2.86,False,0.0014690850066006091,2,New York,False,False,2276,False
3.55,False,0.0018393782383419688,3,New York,False,False,3774,False
1.27,False,0.0006575813433299505,3,New York,False,False,2059,False
2.86,False,0.0014862933610497596,4,Sydney,False,False,1384,True
5.84,False,0.0030229151461507,0,Sydney,True,True,3270,False
4.22,False,0.002185633859715453,0,Tokyo,False,False,3124,False
8.34,False,0.004343026162306282,1,London,False,False,9931,True
6.26,False,0.003204455524102522,2,New York,True,True,7769,False
2.87,False,0.0014990389436737423,4,Tokyo,False,False,2518,False
2.58,False,0.0013747389061767338,0,Sydney,True,True,1108,True
4.64,False,0.0024784603633294694,1,London,False,False,2900,False
2.66,False,0.001417192786169051,2,Sydney,False,False,1732,False
3.24,False,0.0017204209721440483,3,Tokyo,False,False,1977,False
10.1,False,0.005344424336709316,3,London,True,True,5924,False
6.8,False,0.003655461959005069,4,Sydney,False,False,2481,True
